id,title,description,url,owner,scope,audience,stages,type,topic,duration,delivery,cost,eligibility,status,notes,contact,sourceBasis,checked,audienceTags,audienceLabel,discoveryNote,facultyFocused
O013,Texas Agricultural Lifetime Leadership (TALL),Develop agricultural leadership through a multi-year cohort experience.,https://tall.tamu.edu/,Texas A&M AgriLife Extension,Other,Agricultural professionals,Lead across A&M,Program,Leadership,Two-year cohort,See provider,Not published; confirm with provider,Agricultural professionals selected for the program.,"Class XX, 2026–28, published",External-sector program; next application cycle and tuition require confirmation.,979-314-8200,Official provider page reviewed,2026-09-16,External,Agricultural professionals,"Audience filters indicate relevance. Provider eligibility, selection and unit restrictions still apply.",False
O014,Leading with Emotional Intelligence,Apply emotional awareness to leadership and working relationships.,https://engineering.tamu.edu/etid/metm/professional-development.html,Engineering / Master of Engineering Technical Management,Other,External professionals; Organization teams,Lead people; Lead across A&M,Course,Leadership,16 PDUs / 1.6 CEUs,Organization-arranged short course,Not published; confirm with provider,Customized organizational professional development; arrange with provider.,Published offering; enrollment not checked,Not represented as a free internal employee class.,METM professional development team,Official provider page reviewed,2026-09-16,External,"External professionals, Organization teams","Audience filters indicate relevance. Provider eligibility, selection and unit restrictions still apply.",False
O015,Lean Six Sigma Management System,Develop a structured approach to improvement and operating performance.,https://engineering.tamu.edu/etid/metm/professional-development.html,Engineering / Master of Engineering Technical Management,Other,External professionals; Organization teams,Lead people; Lead across A&M,Course,Leadership,36 PDUs / 3.6 CEUs,Organization-arranged short course,Not published; confirm with provider,Customized organizational professional development; arrange with provider.,Published offering; enrollment not checked,Not represented as a free internal employee class.,METM professional development team,Official provider page reviewed,2026-09-16,External,"External professionals, Organization teams","Audience filters indicate relevance. Provider eligibility, selection and unit restrictions still apply.",False
O016,Project Management,Build capabilities for organizing and delivering projects.,https://engineering.tamu.edu/etid/metm/professional-development.html,Engineering / Master of Engineering Technical Management,Other,External professionals; Organization teams,Lead people; Lead across A&M,Course,Leadership,3 CEUs,Organization-arranged short course,Not published; confirm with provider,Customized organizational professional development; arrange with provider.,Published offering; enrollment not checked,Not represented as a free internal employee class.,METM professional development team,Official provider page reviewed,2026-09-16,External,"External professionals, Organization teams","Audience filters indicate relevance. Provider eligibility, selection and unit restrictions still apply.",False
O017,Strategic Leadership Excellence: Navigating Today’s Complex Business Terrain,Explore strategic leadership in complex organizations.,https://engineering.tamu.edu/etid/metm/professional-development.html,Engineering / Master of Engineering Technical Management,Other,External professionals; Organization teams,Lead people; Lead across A&M,Course,Leadership,1.6 CEUs,Organization-arranged short course,Not published; confirm with provider,Customized organizational professional development; arrange with provider.,Published offering; enrollment not checked,Not represented as a free internal employee class.,METM professional development team,Official provider page reviewed,2026-09-16,External,"External professionals, Organization teams","Audience filters indicate relevance. Provider eligibility, selection and unit restrictions still apply.",False
O018,Engaged Leaders: Foundation for the Future (HIL101),Practice leadership behaviors and develop an action plan for workplace influence.,https://teex.org/class/hil101/,TEEX Infrastructure Training & Safety Institute,Other,External professionals,Grow your skills; Lead people,Course,Leadership,16 hours,See provider,Not published; confirm with provider,Employees seeking to grow as leaders; no prerequisites listed.,Published course; no scheduled class displayed,Organizations can inquire about hosting a class. Confirm price and scheduling.,TEEX ITSI training team,Official provider page reviewed,2026-09-16,External,External professionals,"Audience filters indicate relevance. Provider eligibility, selection and unit restrictions still apply.",False
O019,Leadership Development Symposium (LDR005),Explore leadership practice through sessions for managers and emerging leaders.,https://teex.org/class/ldr005/,TEEX Emergency Services Training Institute,Other,External professionals,Lead people; Lead across A&M,Program,Leadership,Up to 16 credit hours,See provider,Not published; confirm with provider,Professionals seeking leadership development; verify event requirements.,Published program; schedule requires confirmation,Page includes an October 2025 registration-opening reference. Do not treat it as a current open registration notice.,979-845-7641,Official provider page reviewed,2026-09-16,External,External professionals,"Audience filters indicate relevance. Provider eligibility, selection and unit restrictions still apply.",False
O020,"Brave Fire Leader Academy, Levels I and II (BFL300)",Develop leadership practice for company and chief fire officers.,https://teex.org/class/bfl300/,TEEX Emergency Services Training Institute,Other,Fire service professionals,Lead people; Lead across A&M,Program,Leadership,26 hours,Online lessons and live sessions,Not published; confirm with provider,New and existing company fire officers.,Published program; listed September 2025 cohort is past,Specialized external program; confirm next cohort and fees.,979-845-7641,Official provider page reviewed,2026-09-16,External,Fire service professionals,"Audience filters indicate relevance. Provider eligibility, selection and unit restrictions still apply.",False
O021,Zachry Leadership Program,"Combine coursework, retreats and experiential learning to develop engineering student leadership.",https://engineering.tamu.edu/student-life/zachry-leadership-program/index.html,College of Engineering,Other,Engineering students,Grow your skills,Program,Leadership,Five semesters; one 3-credit course each semester,Cohort coursework and experiences,Not published; confirm with provider,Selected engineering students; program requirements apply.,Published offering; enrollment not checked,"Director Seth Sullivan is profiled in Engineering news dated March 30, 2026. Not an employee program.",easa@tamu.edu,Official provider page reviewed,2026-09-16,Students,Engineering students,"Audience filters indicate relevance. Provider eligibility, selection and unit restrictions still apply.",False
O022,Hollingsworth Center for Ethical Leadership,Explore academic and experiential development centered on ethical leadership.,https://corps.tamu.edu/hollingsworth-center-for-ethical-leadership/,Corps of Cadets / Hollingsworth Center,Other,Undergraduate students,Grow your skills,Program,Leadership,Varies by course or credential,See provider,Not published; confirm with provider,Courses are available to enrolled undergraduates across majors; specific credentials have requirements.,Published offering; enrollment not checked,Center includes applied leadership credentials and a leadership minor. Distinguish the center from each course.,Hollingsworth Center for Ethical Leadership,Official provider page reviewed,2026-09-16,Students,Undergraduate students,"Audience filters indicate relevance. Provider eligibility, selection and unit restrictions still apply.",False
O023,Dean’s Leadership Certificate,"Combine workshops, reflection, coaching and service in a student leadership credential.",https://bush.tamu.edu/campus-community/student-experience/leadership-development/,Bush School,Other,Bush School students,Grow your skills,Program,Leadership,Multi-activity certificate,See provider,Not published; confirm with provider,Eligible Bush School students; certificate requirements apply.,Published offering; enrollment not checked,Includes four workshops and additional development requirements. Not a general employee certificate.,Bush School student experience team,Official provider page reviewed,2026-09-16,Students,Bush School students,"Audience filters indicate relevance. Provider eligibility, selection and unit restrictions still apply.",False
O024,Conversations in Leadership,Learn from leadership discussions within the Bush School community.,https://bush.tamu.edu/campus-community/student-experience/leadership-development/,Bush School,Other,Bush School community,Grow your skills,Community,Leadership,Not published,See provider,Not published; confirm with provider,"Check each event for student, faculty, staff or public access.",Published offering; enrollment not checked,Event series; access varies by event.,Bush School student experience team,Official provider page reviewed,2026-09-16,,Bush School community,"Audience filters indicate relevance. Provider eligibility, selection and unit restrictions still apply.",False
O025,Graduate Student Leadership Institute,Develop leadership through a mentored project after CIRTL preparation.,https://grad.tamu.edu/professional-development/cirtl/graduate-student-leadership-institute.html,Graduate and Professional School / CIRTL,Other,Graduate and professional students,Grow your skills,Program,Leadership,One semester,See provider,Not published; confirm with provider,Eligible CIRTL participants nominated by a Faculty Fellow; confirm requirements.,Published offering; enrollment not checked,Not general faculty or staff enrollment.,Graduate and Professional School professional development,Official provider page reviewed,2026-09-16,Students,Graduate and professional students,"Audience filters indicate relevance. Provider eligibility, selection and unit restrictions still apply.",False
O026,Graduate Mentoring Academy,Develop mentoring competencies through a sequence of interactive sessions.,https://cte.tamu.edu/services-and-impact/mentoring-cte.html,CTE and Graduate and Professional School,Other,Graduate and professional students,Develop others,Program,Leadership,Multiple competency sessions,See provider,Not published; confirm with provider,Graduate and professional students; confirm the correct academy pathway.,Published offering; enrollment not checked,,cte@tamu.edu,Official provider page reviewed,2026-09-16,Students,Graduate and professional students,"Audience filters indicate relevance. Provider eligibility, selection and unit restrictions still apply.",False
O027,Get Involved Training Center,Access student organization officer and advisor training.,https://studentactivities.tamu.edu/education-training/,Student Activities,Other,Student organization officers; Organization advisors,Grow your skills,Resource,Organization management; advising,Not published,Online training center,Not published; confirm with provider,Applicable organization roles; NetID required.,Published offering; enrollment not checked,"Policies and organizational operations, alongside leadership-relevant skills.",Student Activities,Official provider page reviewed,2026-09-16,Students,"Student organization officers, Organization advisors","Audience filters indicate relevance. Provider eligibility, selection and unit restrictions still apply.",False
O028,Flippen Leadership Institute,Explore character and values-based leadership programming at Mays.,https://mays.tamu.edu/centers-and-institutes/flippen-leadership-institute/,Mays Business School,Other,Students; Public resource users,Grow your skills,Resource,Leadership,Not published,See provider,Not published; confirm with provider,Different programs have distinct student or public audiences.,Published offering; enrollment not checked,Director Stephen Courtright; program coordinator Alexis Broussard. Institute established in 2025; parent hub rather than one course.,alexisabroussard@mays.tamu.edu,Official provider page reviewed,2026-09-16,Students; External,"Students, Public resource users","Audience filters indicate relevance. Provider eligibility, selection and unit restrictions still apply.",False
O029,Aggie Legends Podcast,"Listen to leaders discuss career decisions, service and lessons from experience.",https://mays.tamu.edu/news/2026/01/14/texas-am-podcast-features-top-ceos-and-entrepreneurs-on-leadership-careers-and-life-lessons/,Mays / Flippen Leadership Institute,Other,Public resource users,Grow your skills,Resource,Leadership,Not published,Podcast,Not published; confirm with provider,Public listening resource.,Published offering; enrollment not checked,Relevant to employees even though the originating institute is student-focused.,Flippen Leadership Institute,Official provider page reviewed,2026-09-16,External,Public resource users,"Audience filters indicate relevance. Provider eligibility, selection and unit restrictions still apply.",False
O030,Lead With Purpose speaker series,Explore student-facing conversations with executive leaders.,https://mays.tamu.edu/centers-and-institutes/flippen-leadership-institute/lead-with-purpose/,Mays / Flippen Leadership Institute,Other,Mays students,Grow your skills,Program,Leadership,Not published,See provider,Not published; confirm with provider,Mays students; check each event.,Published offering; enrollment not checked,,Flippen Leadership Institute,Official provider page reviewed,2026-09-16,Students,Mays students,"Audience filters indicate relevance. Provider eligibility, selection and unit restrictions still apply.",False
O031,Leadership Initiative Conference (LINC),Introduce high school students to business leadership and college opportunities.,https://mays.tamu.edu/centers-and-institutes/flippen-leadership-institute/leadership-initiative-conference-linc/,Mays / Flippen Leadership Institute,Other,High school seniors,Grow your skills,Program,Leadership,One day,See provider,Free as described by provider,Eligible high school seniors; application requirements apply.,Published offering; enrollment not checked,,Flippen Leadership Institute,Official provider page reviewed,2026-09-16,Students,High school seniors,"Audience filters indicate relevance. Provider eligibility, selection and unit restrictions still apply.",False
O032,Mays Leadership Conference,Develop leaders of Mays student organizations through a conference experience.,https://mays.tamu.edu/undergraduate/reliant-student-experience-office/mays-leadership-conference/,Mays / Reliant Student Experience Office,Other,Mays student organization leaders,Grow your skills,Program,Leadership,Conference,See provider,Not published; confirm with provider,Applicable Mays student organization leaders.,"Published program; April 17, 2026 event is past",,Reliant Student Experience Office,Official provider page reviewed,2026-09-16,Students,Mays student organization leaders,"Audience filters indicate relevance. Provider eligibility, selection and unit restrictions still apply.",False
O033,Executive MBA,Pursue graduate business study designed for experienced working professionals.,https://catalog.tamu.edu/graduate/colleges-schools-interdisciplinary/business/interdepartmental/executive-mba/,Mays Business School,Other,Admitted graduate students; Working professionals,Grow your skills,Program,Leadership,Not published,See provider,Graduate tuition and program fees,Admission required; see program criteria.,Published offering; enrollment not checked,"Academic degree, not an internal employee development benefit.",Mays Executive MBA admissions,Official provider page reviewed,2026-09-16,Students; External,"Admitted graduate students, Working professionals","Audience filters indicate relevance. Provider eligibility, selection and unit restrictions still apply.",False
O034,Graduate Certificate in Nonprofit Management,Study management of nonprofit organizations.,https://bush.tamu.edu/academics/graduate/certificates/,Bush School,Other,Admitted graduate students; Working professionals,Grow your skills,Program,Leadership,12 graduate credits,See provider,Graduate tuition and fees,Certificate admission and academic prerequisites apply.,Published offering; enrollment not checked,Academic credit; verify admission and course scheduling.,Bush School graduate certificate admissions,Official provider page reviewed,2026-09-16,Students; External,"Admitted graduate students, Working professionals","Audience filters indicate relevance. Provider eligibility, selection and unit restrictions still apply.",False
O035,Graduate Certificate in Public Management,Develop capabilities for public-sector management.,https://bush.tamu.edu/academics/graduate/certificates/,Bush School,Other,Admitted graduate students; Working professionals,Grow your skills,Program,Leadership,12 graduate credits,See provider,Graduate tuition and fees,Certificate admission and academic prerequisites apply.,Published offering; enrollment not checked,Academic credit; verify admission and course scheduling.,Bush School graduate certificate admissions,Official provider page reviewed,2026-09-16,Students; External,"Admitted graduate students, Working professionals","Audience filters indicate relevance. Provider eligibility, selection and unit restrictions still apply.",False
